"Date","Time","Quantity","Units","Service","Meter","Account"
8/20/2019,11:59 PM,33.5339999999997,"kWh","Electricity","578386","8771398385"
8/21/2019,11:59 PM,30.7799999999988,"kWh","Electricity","578386","8771398385"
8/22/2019,11:59 PM,28.5080000000016,"kWh","Electricity","578386","8771398385"
8/23/2019,11:59 PM,22.5479999999989,"kWh","Electricity","578386","8771398385"
8/24/2019,11:59 PM,29.0010000000002,"kWh","Electricity","578386","8771398385"
8/25/2019,11:59 PM,28.3869999999988,"kWh","Electricity","578386","8771398385"
8/26/2019,11:59 PM,30.4130000000005,"kWh","Electricity","578386","8771398385"
8/27/2019,11:59 PM,24.4770000000026,"kWh","Electricity","578386","8771398385"
8/28/2019,11:59 PM,25.012999999999,"kWh","Electricity","578386","8771398385"
8/29/2019,11:59 PM,27.8339999999989,"kWh","Electricity","578386","8771398385"
8/30/2019,11:59 PM,24.9599999999991,"kWh","Electricity","578386","8771398385"
8/31/2019,11:59 PM,25.5900000000001,"kWh","Electricity","578386","8771398385"
9/1/2019,11:59 PM,29.2010000000009,"kWh","Electricity","578386","8771398385"
9/2/2019,11:59 PM,34.6899999999987,"kWh","Electricity","578386","8771398385"
9/3/2019,11:59 PM,36.9490000000005,"kWh","Electricity","578386","8771398385"
9/4/2019,11:59 PM,20.9399999999987,"kWh","Electricity","578386","8771398385"
9/5/2019,11:59 PM,33.1460000000006,"kWh","Electricity","578386","8771398385"
9/6/2019,11:59 PM,31.005000000001,"kWh","Electricity","578386","8771398385"
9/7/2019,11:59 PM,35.351999999999,"kWh","Electricity","578386","8771398385"
9/8/2019,11:59 PM,29.5440000000017,"kWh","Electricity","578386","8771398385"
9/9/2019,11:59 PM,23.2330000000002,"kWh","Electricity","578386","8771398385"
9/10/2019,11:59 PM,30.7700000000004,"kWh","Electricity","578386","8771398385"
9/11/2019,11:59 PM,23.8209999999999,"kWh","Electricity","578386","8771398385"
9/12/2019,11:59 PM,23.8819999999978,"kWh","Electricity","578386","8771398385"
9/13/2019,11:59 PM,26.2469999999994,"kWh","Electricity","578386","8771398385"
9/14/2019,11:59 PM,34.4440000000031,"kWh","Electricity","578386","8771398385"
9/15/2019,11:59 PM,29.0849999999991,"kWh","Electricity","578386","8771398385"
9/16/2019,11:59 PM,30.398000000001,"kWh","Electricity","578386","8771398385"
9/17/2019,11:59 PM,25.2849999999962,"kWh","Electricity","578386","8771398385"
9/18/2019,11:59 PM,32.1330000000016,"kWh","Electricity","578386","8771398385"
9/19/2019,11:59 PM,27.2860000000001,"kWh","Electricity","578386","8771398385"
9/20/2019,11:59 PM,29.4759999999987,"kWh","Electricity","578386","8771398385"
9/21/2019,11:59 PM,30.4210000000021,"kWh","Electricity","578386","8771398385"
9/22/2019,11:59 PM,16.1239999999998,"kWh","Electricity","578386","8771398385"
9/23/2019,11:59 PM,21.5730000000003,"kWh","Electricity","578386","8771398385"
9/24/2019,11:59 PM,26.1359999999986,"kWh","Electricity","578386","8771398385"
9/25/2019,11:59 PM,18.0930000000008,"kWh","Electricity","578386","8771398385"
9/26/2019,11:59 PM,29.5649999999987,"kWh","Electricity","578386","8771398385"
9/27/2019,11:59 PM,24.9000000000015,"kWh","Electricity","578386","8771398385"
9/28/2019,11:59 PM,14.5499999999993,"kWh","Electricity","578386","8771398385"
9/29/2019,11:59 PM,26.0679999999993,"kWh","Electricity","578386","8771398385"
9/30/2019,11:59 PM,23.1840000000011,"kWh","Electricity","578386","8771398385"
10/1/2019,10:15 PM,18.4069999999992,"kWh","Electricity","578386","8771398385"
10/2/2019,11:59 PM,21.4140000000007,"kWh","Electricity","578386","8771398385"
10/3/2019,11:59 PM,29.1820000000007,"kWh","Electricity","578386","8771398385"
10/4/2019,11:59 PM,21.5669999999991,"kWh","Electricity","578386","8771398385"
10/5/2019,11:59 PM,29.4939999999988,"kWh","Electricity","578386","8771398385"
10/6/2019,11:59 PM,17.7640000000029,"kWh","Electricity","578386","8771398385"
10/7/2019,11:59 PM,17.5599999999977,"kWh","Electricity","578386","8771398385"
10/8/2019,11:59 PM,22.9249999999993,"kWh","Electricity","578386","8771398385"
10/9/2019,11:59 PM,19.4110000000001,"kWh","Electricity","578386","8771398385"
10/10/2019,11:59 PM,33.2760000000017,"kWh","Electricity","578386","8771398385"
10/11/2019,11:59 PM,24.5669999999991,"kWh","Electricity","578386","8771398385"
10/12/2019,11:59 PM,27.0169999999998,"kWh","Electricity","578386","8771398385"
